what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318076438340
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318076442090
activated,perspective,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.Perspective",1318076459490
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1318076460510
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318076488602
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1318076488632
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318076488654
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318076493678
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318076493983
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318076528227
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318076532827
started,bundle,org.eclipse.wst.xsl.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.launching",1318076657708
started,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.launching",1318076657761
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1318076659987
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1318076660084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076664780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076667986
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318076671031
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318076695987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076702098
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1318076705056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076705095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318076705157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076728410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076733383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076734841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076738602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076739902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076746069
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318076746132
activated,perspective,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.Perspective",1318076752465
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1318076752498
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1318076782831
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318076782882
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318076785192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076789032
error,log,,,"Failed to load properties file for project 'mapsTest'",1318076811259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076811389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076816574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076820720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076821756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076825592
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318076825653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076833035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318076834073
